"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1211","Verify a defect can be created, read, updated, and deleted via the API","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.api.DefectAPITest","Qace Tests","tests.api.DefectAPITest","checkDefectCRUD"
"","32763","Verify a quick test case can be created","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkCreateQuickTestCase"
"","22418","Verify a new defect can be created and is displayed in the defects list","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.DefectsPageTest","Qace Tests","tests.ui.DefectsPageTest","checkCreateNewDefect"
"","987","Verify a test suite can be created, read, updated, and deleted via the API","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.api.TestSuiteAPITest","Qace Tests","tests.api.TestSuiteAPITest","checkTestSuiteCRUD"
"","32564","Verify the create project modal stays open when the name and/or code are empty","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkCreateProjectWithEmptyFields"
"","19020","Verify the project code can be changed","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectSettingsPageTest","Qace Tests","tests.ui.ProjectSettingsPageTest","checkChangeProjectCode"
"","32425","Verify a new test case can be created","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkCreateNewTestCase"
"","32433","Verify a new suite can be created","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkCreateNewSuite"
"","2039","Verify a required field message is shown when logging in with an empty email and/or password","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","Qace Tests","tests.ui.LoginTest","checkLoginWithEmptyFields"
"","32556","Verify a project can be found in the projects list by searching its name","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkSearchProjectByName"
"","28160","Verify a defect's status can be changed to 'In Progress', 'Resolved', or 'Invalid'","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.DefectsPageTest","Qace Tests","tests.ui.DefectsPageTest","checkChangeDefectStatus"
"","35","checkLogs","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.base.LogTest","Qace Tests","tests.base.LogTest","checkLogs"
"","20609","Verify a defect can be deleted from the defects list","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.DefectsPageTest","Qace Tests","tests.ui.DefectsPageTest","checkDeleteDefect"
"","4381","Verify a project can be created, read, and deleted via the API","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.api.ProjectAPITest","Qace Tests","tests.api.ProjectAPITest","checkProjectCRUD"
"","28074","Verify a defect's status can be changed to 'In Progress', 'Resolved', or 'Invalid'","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.DefectsPageTest","Qace Tests","tests.ui.DefectsPageTest","checkChangeDefectStatus"
"","73973","Verify a suite can be duplicated","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkDuplicateSuite"
"","50666","Verify a deleted test case can be restored from the trash bin back","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkRestoreTestCase"
"","32445","Verify an error message is shown when logging in with a wrong password","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.LoginTest","Qace Tests","tests.ui.LoginTest","checkLoginWithInvalidCredentials"
"","28126","Verify a defect's status can be changed to 'In Progress', 'Resolved', or 'Invalid'","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.DefectsPageTest","Qace Tests","tests.ui.DefectsPageTest","checkChangeDefectStatus"
"","19114","Verify the project name can be changed","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectSettingsPageTest","Qace Tests","tests.ui.ProjectSettingsPageTest","checkChangeProjectName"
"","2188","Verify a required field message is shown when logging in with an empty email and/or password","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","Qace Tests","tests.ui.LoginTest","checkLoginWithEmptyFields"
"","1345","Verify a test case can be created, read, updated, and deleted via the API","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.api.TestCaseAPITest","Qace Tests","tests.api.TestCaseAPITest","checkTestCaseCRUD"
"","32449","Verify an archived project disappears from the projects list","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkArchiveProject"
"","32477","Verify a project can be deleted","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkDeleteProject"
"","35957","Verify a required field message is shown when logging in with an empty email and/or password","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","Qace Tests","tests.ui.LoginTest","checkLoginWithEmptyFields"
"","50413","Verify a test case can be deleted","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkDeleteTestCase"
"","32498","Verify user can log in with valid credentials","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.LoginTest","Qace Tests","tests.ui.LoginTest","checkLoginWithValidCredentials"
"","20147","Verify the create defect form stays open when required fields are empty","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.DefectsPageTest","Qace Tests","tests.ui.DefectsPageTest","checkCreateDefectWithEmptyFields"
"","20837","Verify a suite can be deleted","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkDeleteSuite"
"","32485","Verify a new project can be created","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkCreateProject"
"","32476","Verify the create project modal stays open when the name and/or code are empty","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkCreateProjectWithEmptyFields"
"","32526","Verify the project limit modal is displayed after trying to create a 3rd project","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkProjectCreationLimit"
"","32554","Verify the create project modal stays open when the name and/or code are empty","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkCreateProjectWithEmptyFields"
